T32013,T32011,T32010,T32014,T32008,T32006,T32004,T32001,T32012,T32005,T32009,T32002,T32003
2594,2370,2301,3188,1389,1529,1644,1789,1917,1759,2537,3367,609
3029,3379,3976,3682,1521,3084,2654,1447,2411,2194,4092,1613,1971
2528,2306,914,3015,1907,258,1314,2384,1852,1694,969,3962,1254
3718,3495,1094,4205,3097,1448,2234,3573,3042,2884,600,5152,2444
1938,2136,2732,2042,778,1841,1410,1230,771,1103,2848,2411,902
