,Index,Attraction,Google Reviews,log,norm
0,1,Peabody Essex Museum,3179,3.5022905279147727,0.8535697367384464
1,2,Salem Witch Museum,8542,3.9315595670908055,1.0
2,3,The Satanic Temple at Salem Art gallery,151,2.1789769472931693,0.402167146978068
3,4,Bewitched Statue,354,2.5490032620257876,0.5283888069049109
4,5,Witch House,3028,3.4811558708280352,0.8463603805568455
5,6,Salem Maritime National Historic Site,1657,3.219322508419337,0.7570449986188506
6,7,The House of the Seven Gables,3369,3.52750101098112,0.8621694197704257
7,8,Salem Willows Park,2968,3.4724638966069894,0.8433954146326935
8,9,Witch Dungeon Museum,1645,3.216165902285993,0.755968231778163
9,10,Salem Willows Arcade,221,2.3443922736851106,0.45859285575399256
10,11,Joshua Ward House,10,1.0,0.0
11,12,Count Orlok’s Nightmare Gallery,669,2.8254261177678233,0.6226808891280088
12,13,Black Veil Shoppe of Drear & Wonder,214,2.330413773349191,0.45382457456576775
13,14,Crow Haven Corner,447,2.6503075231319366,0.5629452465022411
14,15,Herb Mackey’s Metal Sculpture Yard,28,1.4471580313422192,0.1525324732821192
15,16,Harbor Sweets,139,2.143014800254095,0.3898999062087589
16,17,Salem Witch Board Museum,64,1.806179973983887,0.2750003728506587
17,18,New England Pirate Museum,292,2.4653828514484184,0.4998646003644476
18,19,Salem Witch Trials Memorial,2091,3.3203540328176717,0.7915084035356388
19,20,witch city mall,1339,3.126780577012009,0.7254775242798713
20,21,Historic New England Phillips House,74,1.8692317197309762,0.29650829186240163
21,22,Pickering Wharf,151,2.1789769472931693,0.402167146978068
