T32013,T32011,T32010,T32014,T32008,T32006,T32004,T32001,T32012,T32005,T32009,T32002,T32003,origin_address
1384,859,2367,1628,1701,1476,602,2177,1413,1247,2483,3755,1229,"32 Jefferson Ave, Salem, MA 01970, USA"
1579,1202,2252,1971,1585,1360,486,2062,1289,1131,2368,3640,1114,"99 Margin St, Salem, MA 01970, USA"
2015,1793,1412,2502,1605,521,1147,2004,1339,1182,1528,3583,818,"14 Fairfield St, Salem, MA 01970, USA"
2017,1795,1425,2504,1389,557,1363,1788,1341,1183,1564,3367,602,"2 Leavitt St, Salem, MA 01970, USA"
2213,1990,1372,2700,1207,746,1822,1606,1537,1379,1692,3185,420,"30 Leavitt St, Salem, MA 01970, USA"
2826,2603,2534,3421,1622,1762,1877,2021,2149,1992,2769,3599,842,"45 Congress St #4120, Salem, MA 01970, USA"
2679,2456,2387,3274,1475,1615,1730,1874,2002,1845,2622,3453,695,"45 Congress St Suite 4171, Salem, MA 01970, USA"
2553,2385,2915,3147,1045,2090,1659,1255,1876,1718,3097,2833,1122,"Unnamed Road, Salem, MA 01970, USA"
2553,2385,2915,3147,1045,2090,1659,1255,1876,1718,3097,2833,1122,"91 Leach St, Salem, MA 01970, USA"
897,918,3625,788,2616,2734,1860,3093,1933,1930,3741,4671,2315,"12 Pope St, Salem, MA 01970, USA"
651,66,2821,854,1948,1929,1055,2425,1456,1455,2936,4003,1647,"18 Dalton Pkwy, Salem, MA 01970, USA"
981,457,2710,1226,1838,1819,945,2314,1346,1345,2826,3893,1537,"55 Broad St, Salem, MA 01970, USA"
1124,599,2278,1368,1786,1386,512,2262,1294,1293,2394,3840,1484,"51 Hathorne St, Salem, MA 01970, USA"
1286,916,2099,1685,1589,1208,334,2065,1097,1096,2215,3644,1287,"112 Margin St, Salem, MA 01970, USA"
1743,1521,2030,2230,1364,1139,1318,1840,1067,909,2146,3418,892,"1 Florence St, Salem, MA 01970, USA"
1906,1683,1622,2393,1193,730,958,1593,1230,1072,1737,3171,406,"16 Dow St, Salem, MA 01970, USA"
2057,1834,1578,2802,1003,806,1775,1402,1531,1373,1813,2981,216,"85 Congress St, Salem, MA 01970, USA"
3094,2870,2802,3688,1889,2030,2145,2289,2417,2259,3037,3867,1110,"47 Congress St, Salem, MA 01970, USA"
2531,2363,2894,3126,1024,2068,1637,1233,1854,1697,3075,2812,1100,"Building 4, Suite 160 Shetland Park, 45 Congress St, Salem, MA 01970, USA"
2553,2385,2915,3147,1045,2090,1659,1255,1876,1718,3097,2833,1122,"Unnamed Road, Salem, MA 01970, USA"
2553,2385,2915,3147,1045,2090,1659,1255,1876,1718,3097,2833,1122,"99 Turner St, Salem, MA 01970, USA"
366,387,3094,383,2086,2203,1329,2562,1528,1442,3210,4141,1784,"31R Boston St, Salem, MA 01970, USA"
459,259,2870,662,1862,1979,1105,2338,1209,1175,2986,3917,1560,"408 Essex St, Salem, MA 01970, USA"
750,355,2560,1004,1659,1668,794,2135,1167,1166,2676,3714,1357,"20 Warren St, Salem, MA 01970, USA"
946,554,2300,1263,1428,1409,535,1904,936,935,2416,3482,1126,"19 Broad St, Salem, MA 01970, USA"
1146,923,1972,1633,1309,1081,207,1786,957,817,2088,3364,834,"10 Pratt St, Salem, MA 01970, USA"
1441,1219,1953,1928,1011,1062,493,1488,766,608,2069,3066,589,"239 Washington St, Salem, MA 01970, USA"
1669,1446,1736,2264,991,845,720,1467,992,835,1852,3045,449,"19 Ward St, Salem, MA 01970, USA"
1990,1766,1796,2584,785,1024,1040,1184,1313,1155,2031,2763,2,"Congress St @ Shetland Park Industrial Park, Salem, MA 01970, USA"
2202,1978,2125,2796,997,1353,1252,1396,1525,1367,2360,2975,235,"35 Congress St Building 2, Suite 351, Salem, MA 01970, USA"
2343,2174,2705,2937,835,1879,1449,1045,1666,1508,2886,2623,911,"35 Congress St Building 2 Rear,Unit 2150B, Suite, Salem, MA 01970, USA"
2443,2275,2806,3037,936,1980,1549,1145,1766,1609,2987,2724,1012,"Unnamed Road, Salem, MA 01970, USA"
2612,2817,3348,3797,1104,2522,2091,122,2526,1777,3529,2183,1554,"99 Turner St, Salem, MA 01970, USA"
496,712,3188,289,2180,2297,1481,2656,1204,1117,3304,4171,1878,"405 Bridge St, Salem, MA 01970, USA"
61,501,3033,632,2024,2141,1267,2500,1371,1337,3148,4079,1723,"156 Federal St, Salem, MA 01970, USA"
395,520,2666,924,1658,1775,949,2134,879,845,2782,3505,1357,"Essex St @ Monroe St, Salem, MA 01970, USA"
699,868,2321,1271,1313,1430,604,1789,693,659,2437,3319,1012,"333 Essex St, Salem, MA 01970, USA"
1114,957,2150,1665,1142,1259,419,1618,782,649,2266,3197,840,"3371, 28 Norman St #2, Salem, MA 01970, USA"
