,Peabody Essex Museum,Salem Witch Museum,The Satanic Temple at Salem Art gallery,Bewitched Statue,Witch House,Salem Maritime National Historic Site,The House of the Seven Gables,Salem Willows Park,Witch Dungeon Museum,Salem Willows Arcade,Joshua Ward House,Count Orlok’s Nightmare Gallery,Black Veil Shoppe of Drear & Wonder,Crow Haven Corner,Herb Mackey’s Metal Sculpture Yard,Harbor Sweets,Salem Witch Board Museum,New England Pirate Museum,Salem Witch Trials Memorial,witch city mall,Historic New England Phillips House,Pickering Wharf
58,0.47258344804942515,0.4633221502106776,0.5114294473175053,0.3138550934242236,0.3117970272378352,0.5284084933552091,0.7532522242181365,0.8167950177228769,0.23950745244094435,0.8170522759961755,0.3462696358598401,0.38717370131430856,0.05916940285866509,0.5024254077520562,0.6297682530348354,0.5976109688725175,0.4432560048933912,0.4291067998619712,0.5461593142128087,0.3228591329896726,0.10418960068591027,0.40415274735201245
59,0.35115754305251246,0.3928333833268765,0.4406834221604057,0.24310906826712397,0.24105100208073565,0.4278205084954785,0.6855932983406194,0.7460489925657774,0.1687614272838448,0.7463062508390759,0.2876147495477721,0.32851881500224056,0.06765892587751704,0.38665918476771144,0.5744577242756486,0.5425576983866292,0.33366398046821144,0.3650494898106338,0.4911060437269203,0.252113107832573,0.06920247551730829,0.3493567351394226
60,0.42679147540228435,0.4774713552420975,0.4705253818630368,0.3421535034870634,0.27089296178336675,0.4826165207080684,0.7072029932976971,0.7758909522684083,0.19860338698647587,0.7761482105417069,0.3004776632126993,0.34138172866716776,0.12502752082309232,0.4566334351049154,0.5837190221143961,0.5518189962253767,0.3972067739729518,0.3833148272148304,0.5003673415656679,0.3344357552881071,0.05839762803876947,0.35836077470487165
61,0.3334067221949129,0.3460123775865415,0.4792721631551873,0.26754860423048565,0.16618884455085936,0.4067253300849979,0.676846517048469,0.6917674968997845,0.20735016827862637,0.6917674968997846,0.22587276395612155,0.26677682941059,0.2050348438189395,0.34549786103994445,0.5533625458651679,0.52120526170285,0.31591315961061195,0.34729866895303424,0.4697536070431412,0.25983085603152933,0.004887907192672347,0.3280042984556435
62,0.16181545390478413,0.17442110929641275,0.354759158878692,0.09595733594035688,0.08566700500841512,0.23513406179486912,0.5106576724976096,0.5201762286096557,0.0522234294796044,0.5201762286096557,0.054281495665992774,0.09518556112046128,0.31256880205773085,0.17390659274981568,0.3789414365687551,0.3550164171519906,0.14432189132048312,0.17570740066290547,0.21506791647758272,0.08823958774140056,0.008746781292150507,0.16181545390478413
63,0.10753395823879136,0.12013961363041997,0.30047766321269925,0.05402423739269424,0.07306134961678651,0.18085256612887637,0.4378535811541217,0.465894732943663,0.0393605158146772,0.465894732943663,0.0,0.04090406545446851,0.37379627110278424,0.1196250970838229,0.3246599409027624,0.2822123258085027,0.0900403956544904,0.12142590499691269,0.16078642081158995,0.046563747467036454,0.12502752082309232,0.09261297838747579
64,0.0,0.09415652802726704,0.2912163653739517,0.1036750841393132,0.15203963951943944,0.12811462010267488,0.3563027085184833,0.41572936965044693,0.11833880571733019,0.41598662792374547,0.04064680718116992,0.0,0.4527745610054372,0.07331860789008499,0.2328187373351822,0.2009187114461628,0.013891946758121387,0.0,0.14920979851315547,0.020837920137182053,0.2040058107257453,0.011319364025135947
65,0.07331860789008504,0.12399848772989813,0.3210583250765828,0.2320469625152866,0.27603812724933763,0.07666296544296608,0.30150669630589344,0.3812567610284421,0.24233729344722832,0.38151401930174056,0.15769932153200744,0.11139283233826952,0.5767730487353354,0.10316056759271608,0.17802272512259237,0.1968025790733861,0.051708912933007334,0.030099217975929626,0.0,0.14920979851315547,0.2940462063802357,0.014920979851315574
66,0.07769199853616027,0.08257990572883256,0.24645342582000504,0.21944130712365795,0.26780586250378424,0.0,0.22484373086292736,0.30459379558547595,0.23410502870167493,0.30485105385877453,0.15641303016551472,0.11576622298434475,0.568540783989782,0.09750088558014813,0.1013597596796263,0.2196985653969565,0.04373390646075248,0.07023150861050248,0.08643877982831077,0.1366041431215268,0.31977203371009005,0.037559707901587414
67,0.14715173232676715,0.14560818268697584,0.33778011284098813,0.28890104091426483,0.33726559629439107,0.05093713811311168,0.20554936036553656,0.2953324977467284,0.3035647624922818,0.29533249774672843,0.22587276395612155,0.18522595677495163,0.6380005177803889,0.16027190426499283,0.08206538918223549,0.3683938473635149,0.1134508985246579,0.1396912424011093,0.1558985136189176,0.20606387691213368,0.38923176750069693,0.1862549898681458
68,0.49290685164001014,0.4839028120745611,0.5317528509080902,0.3341784970148085,0.3321204308284202,0.5487318969457942,0.7735756278087215,0.8371184213134619,0.25983085603152933,0.8373756795867604,0.3665930394504251,0.4077543631781921,0.0944137863005656,0.5227488113426412,0.6500916566254205,0.6179343724631025,0.4635794084839761,0.4496874617258547,0.5664827178033937,0.34318253658025755,0.12451300427649525,0.424733409215896
69,0.49007701063372616,0.48081571279497853,0.5289230099018063,0.33134865600852453,0.3292905898221362,0.5459020559395101,0.7707457868024374,0.8342885803071778,0.2570010150252453,0.8345458385804764,0.36376319844414107,0.4046672638986096,0.1399485006744079,0.5199189703363571,0.6472618156191364,0.6151045314568184,0.46074956747769213,0.4466003624462722,0.5636528767971097,0.3403526955739736,0.12168316327021128,0.42164630993631347
70,0.5165746127834762,0.3362365632011969,0.384086602034726,0.18676950641474288,0.184454181955056,0.5723996580892602,0.7972433889521875,0.6897094307133962,0.11216460715816512,0.6897094307133962,0.3902608005938911,0.4311648660483596,0.1664461028241579,0.5464165724861072,0.6737594177688865,0.6416021336065685,0.4872471696274422,0.4730979645960222,0.5901504789468597,0.19551628770689336,0.14818076541996128,0.448401170359362
71,0.2649760214975002,0.2719219948765609,0.31977203371009005,0.199117903533073,0.12013961363042003,0.3838293437614275,0.6084158163510562,0.6253948623887602,0.04785003883352912,0.6253948623887602,0.15744206325870885,0.19834612871317736,0.1975743538932817,0.2773244186158303,0.4849318451677552,0.4530318192787358,0.2477397171864978,0.27912522652892013,0.401580164619027,0.19140015533411667,0.055567787032485494,0.2595735977582308
