,station_id,Number,Name,Latitude,Longitude,Total_docks,count,demand,Size,x,y,zone_number,zone_letter,xnew,ynew,norm,Group
0,516,T32001,Salem Ferry Landing,42.52189284,-70.88069111,11,1125,102.27272727272728,0.1,345522.35760567576,4709437.89980557,19,T,2453.337724927522,2041.4147750912234,0.3343945738311936,Existing Stations
1,517,T32002,Salem Willows Park,42.53466911,-70.8702144,15,2002,133.46666666666667,0.1,346414.24282308505,4710837.586579552,19,T,3345.2229423368117,3441.1015490731224,0.44126379901027796,Existing Stations
2,518,T32003,Shetland Park - Congress at Peabody St,42.51836788,-70.88952363,11,1699,154.45454545454547,0.1,344788.11475380114,4709062.6123477975,19,T,1719.0948730529053,1666.1273173186928,0.5131674568294288,Existing Stations
3,519,T32004,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,11,2664,242.1818181818182,0.1,344279.86249568954,4709037.002115106,19,T,1210.842614941299,1640.5170846274123,0.8137176869571238,Existing Stations
4,520,T32005,Salem MBTA - Washington at Federal St,42.52345239,-70.89611113,13,2947,226.69230769230768,0.1,344259.6106317882,4709639.304520188,19,T,1190.5907510399702,2242.8194897091016,0.7606512254399579,Existing Stations
5,521,T32006,Lafayette at Leach St,42.51142784,-70.89183301,11,1114,101.27272727272728,0.1,344581.2061875955,4708296.1933525205,19,T,1512.1863068472594,899.708322041668,0.33096861265875355,Existing Stations
6,562,T32008,Hawthorne Boulevard,42.5223714,-70.8903331,9,2669,296.55555555555554,0.1,344731.5366470464,4709508.66327087,19,T,1662.5167662981548,2112.178240391426,1.0,Existing Stations
7,570,T32009,Salem State University - North Campus,42.503332,-70.891444,11,779,70.81818181818181,0.1,344593.1053379803,4707396.485030479,19,T,1524.0854572320823,0.0,0.22663252240717027,Existing Stations
8,571,T32010,Forest River Park,42.506395,-70.88693,11,530,48.18181818181818,0.1,344971.57252597914,4707728.347229236,19,T,1902.5526452308986,331.8621987570077,0.14908121950375472,Existing Stations
9,572,T32011,Essex St at Dalton Parkway,42.516223,-70.905535,11,257,23.363636363636363,0.1,343467.48861367116,4708853.884967528,19,T,398.46873292292,1457.3999370494857,0.06405509222410631,Existing Stations
10,573,T32012,Salem MBTA - Lower Level,42.523994,-70.89684,11,189,17.181818181818183,0.1,344201.0879652894,4709700.787142407,19,T,1132.0680845411844,2304.302111928351,0.042876423158113304,Existing Stations
11,574,T32013,Community Life Center,42.520136,-70.906271,9,42,4.666666666666667,0.1,343416.8008167121,4709289.761171786,19,T,347.7809359638486,1893.2761413073167,0.0,Existing Stations
12,575,T32014,Goodhue St at Grove St,42.520897,-70.910528,11,90,8.181818181818182,0.1,343069.01988074824,4709382.140712399,19,T,0.0,1985.6556819202378,0.012042772606152887,Existing Stations
