Address,Coordinates,lat,lng
"270 Essex St, Salem, MA 01970, USA","(42.5216077, -70.89732959999999)",42.5216077,-70.89732959999999
"207 Essex St, Salem, MA 01970, USA","(42.5214744, -70.89456679999999)",42.5214744,-70.89456679999999
"161 Essex St, Salem, MA 01970, USA","(42.52151749999999, -70.8922189)",42.52151749999999,-70.8922189
"30 Union St, Salem, MA 01970, USA","(42.5214933, -70.889335)",42.5214933,-70.889335
"168 Derby St, Salem, MA 01970, USA","(42.521693, -70.8865876)",42.521693,-70.8865876
"27 Hardy St, Salem, MA 01970, USA","(42.5215504, -70.8839356)",42.5215504,-70.8839356
"29-37 Grove St, Salem, MA 01970, USA","(42.5238008, -70.9087314)",42.5238008,-70.9087314
"53 Mason St Suite 206, Salem, MA 01970, USA","(42.5234063, -70.9051166)",42.5234063,-70.9051166
"5R Commercial St, Salem, MA 01970, USA","(42.52330449999999, -70.9026658)",42.52330449999999,-70.9026658
"293 Bridge St, Salem, MA 01970, USA","(42.5231594, -70.9002301)",42.5231594,-70.9002301
"36 Federal St, Salem, MA 01970, USA","(42.5233735, -70.8972308)",42.5233735,-70.8972308
"20 Federal St, Salem, MA 01970, USA","(42.5234745, -70.8948156)",42.5234745,-70.8948156
"7 Howard St, Salem, MA 01970, USA","(42.5236081, -70.8920395)",42.5236081,-70.8920395
"25 Washington Square, Salem, MA 01970, USA","(42.5238019, -70.889695)",42.5238019,-70.889695
"8 Forrester St, Salem, MA 01970, USA","(42.5237083, -70.8868501)",42.5237083,-70.8868501
"21 Carlton St, Salem, MA 01970, USA","(42.52356080000001, -70.8841214)",42.52356080000001,-70.8841214
"65 Derby St, Salem, MA 01970, USA","(42.5218354, -70.8867108)",42.5218354,-70.8867108
"23 Derby St, Salem, MA 01970, USA","(42.5247067, -70.8786058)",42.5247067,-70.8786058
"40 Tremont St, Salem, MA 01970, USA","(42.5253832, -70.9077041)",42.5253832,-70.9077041
"16 Dunlap St, Salem, MA 01970, USA","(42.5253126, -70.9051497)",42.5253126,-70.9051497
"14 Mason St, Salem, MA 01970, USA","(42.5252994, -70.9026271)",42.5252994,-70.9026271
"83 North St, Salem, MA 01970, USA","(42.5254249, -70.90022650000002)",42.5254249,-70.90022650000002
"190 Bridge St, Salem, MA 01970, USA","(42.5251502, -70.89402609999999)",42.5251502,-70.89402609999999
"33 Williams St, Salem, MA 01970, USA","(42.5254807, -70.8921915)",42.5254807,-70.8921915
"41 Washington Square, Salem, MA 01970, USA","(42.525371, -70.889444)",42.525371,-70.889444
"16 Briggs St, Salem, MA 01970, USA","(42.5255892, -70.8870359)",42.5255892,-70.8870359
"3 Essex St, Salem, MA 01970, USA","(42.5255567, -70.8840633)",42.5255567,-70.8840633
"4 Fort Ave, Salem, MA 01970, USA","(42.52549399999999, -70.88168499999999)",42.52549399999999,-70.88168499999999
"24 Fort Ave, Salem, MA 01970, USA","(42.5251058, -70.8774911)",42.5251058,-70.8774911
"67 School St, Salem, MA 01970, USA","(42.52720619999999, -70.9079828)",42.52720619999999,-70.9079828
"39 Barr St, Salem, MA 01970, USA","(42.52723839999999, -70.9053819)",42.52723839999999,-70.9053819
"5 Randall St, Salem, MA 01970, USA","(42.5273124, -70.9027517)",42.5273124,-70.9027517
"17 Foster St, Salem, MA 01970, USA","(42.5272786, -70.90004069999999)",42.5272786,-70.90004069999999
"Furlong Park, Franklin St, Salem, MA 01970, USA","(42.5273477, -70.89788570000002)",42.5273477,-70.89788570000002
"23 Northey St, Salem, MA 01970, USA","(42.5273664, -70.8921915)",42.5273664,-70.8921915
"13 Pleasant St, Salem, MA 01970, USA","(42.5273772, -70.8896834)",42.5273772,-70.8896834
"25 Memorial Dr, Salem, MA 01970, USA","(42.5279338, -70.8810211)",42.5279338,-70.8810211
"6 Victory Rd, Salem, MA 01970, USA","(42.5277883, -70.8790006)",42.5277883,-70.8790006
"23 Northend Ave, Salem, MA 01970, USA","(42.52899790000001, -70.9081337)",42.52899790000001,-70.9081337
"1 Bryant St, Salem, MA 01970, USA","(42.5291466, -70.9056492)",42.5291466,-70.9056492
"35 Upham St, Salem, MA 01970, USA","(42.529297, -70.9027926)",42.529297,-70.9027926
"5 Southwick St, Salem, MA 01970, USA","(42.5290952, -70.90012200000001)",42.5290952,-70.90012200000001
"24 Saunders St, Salem, MA 01970, USA","(42.529489, -70.89210299999999)",42.529489,-70.89210299999999
"89 Bridge St, Salem, MA 01970, USA","(42.5294607, -70.889544)",42.5294607,-70.889544
"Collins Cove Playground, 32 Collins St, Salem, MA 01970, USA","(42.5296097, -70.8868734)",42.5296097,-70.8868734
"13 Settlers Way, Salem, MA 01970, USA","(42.52943190000001, -70.8813462)",42.52943190000001,-70.8813462
"40 Memorial Dr, Salem, MA 01970, USA","(42.52965289999999, -70.8790935)",42.52965289999999,-70.8790935
