,T32001,T32002,T32003,T32004,T32005,T32006,T32008,T32009,T32010,T32011,T32012,T32013,T32014
0,0.8160187948830224,1.0,0.7034372034726669,0.5267869312362775,0.630931494718925,0.7914986824681207,0.714247145505043,0.5850551553620119,0.9605028981450245,0.25627472330413503,0.5808366413981578,0.42396065336733446,0.39469471274309686
1,0.7696151412806276,1.0,0.6122118390043225,0.42633356747200235,0.5945468117806836,0.6907816615811047,0.668107149025389,0.3377447742310668,0.5531526435103655,0.49646636212107637,0.5879553837121616,0.648332864819823,0.6301405233507024
2,0.6720620058665021,0.9373010713438271,0.514658703590197,0.3287804320578769,0.49725733348929896,0.5932285261669792,0.5705540136112636,0.27789460736888716,0.4930388195254449,0.3989132267069509,0.49066590542077704,0.5507797294056975,0.5325873879365769
3,0.7234751448009737,0.9884505531555577,0.5660718425246686,0.3801935709923484,0.5486704724237705,0.6446416651014507,0.6219671525457351,0.27868557873710975,0.4938297908936676,0.4503263656414224,0.5418153872325077,0.6021928683401692,0.5840005268710484
4,0.6161666958454357,0.8811421042000197,0.4587633935691306,0.28290409270096384,0.4410983663454916,0.20644352710610875,0.5143950464674562,0.09412559281849403,0.1914150711098786,0.6061477251812823,0.43239768129504264,0.6783897768122833,0.7242661161691963
5,0.6032474968311325,0.8684865623084574,0.39812225533872825,0.30478763388845687,0.46324556465572553,0.148966274348597,0.501739504575894,0.07883347969952303,0.13393781835236684,0.6282949234915162,0.4545448796052765,0.7005369751225172,0.7464133144794303
6,0.5536799577558472,0.8186553661104312,0.348291059140702,0.40972316873932696,0.442416651959196,0.09913507815057077,0.45217196550060856,0.0,0.05457702440736206,0.6074660107949867,0.43371596690874703,0.6797080624259877,0.7253207446601599
7,0.6085206392859501,0.8737597047632751,0.40339539779354583,0.4387254522408237,0.49725733348929896,0.15423941680341458,0.5070126470307116,0.042448796761281604,0.0,0.6623066923250897,0.48855664843885,0.7345487439560907,0.7804250833130038
8,0.6427960652422645,0.9077714735968485,0.4376708237498602,0.47300087819713804,0.5315327594456133,0.18825118563698806,0.5412880729870259,0.08595222201352676,0.001581942736445241,0.696582118281404,0.5228320743951643,0.768824169912405,0.814700509269318
9,0.764605655948551,1.0,0.6520240645381954,0.475373792301806,0.5795183557844534,0.7400855435336492,0.6630976636933124,0.5339056735502813,0.9090897592105529,0.2048615843696635,0.5294235024636863,0.37254751443286294,0.34328157380862534
